gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,parental_education_encoded
Female,Punjab,Matric,Standard,Completed,71,85,93,1
Female,Punjab,Matric,Standard,Completed,81,87,95,1
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,92,92,94,2
Male,Punjab,Intermediate,Free/Reduced,Completed,47,72,72,2
Female,Punjab,Bachelor's Degree,Standard,Not Completed,66,74,73,3
Male,Punjab,Bachelor's Degree,Standard,Completed,75,77,85,3
Female,Sindh,Matric,Standard,Not Completed,64,65,66,1
Female,Balochistan,Intermediate,Standard,Completed,72,84,87,2
Male,Punjab,Primary or Below,Free/Reduced,Not Completed,75,72,73,0
Female,Punjab,Bachelor's Degree,Standard,Not Completed,72,66,69,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,67,59,65,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,51,61,56,3
Female,Punjab,Master's Degree,Standard,Not Completed,83,81,76,4
Female,Punjab,Bachelor's Degree,Standard,Not Completed,65,69,67,3
Female,Sindh,Matric,Standard,Not Completed,80,78,74,1
Male,Punjab,Intermediate,Standard,Completed,84,87,93,2
Male,Punjab,Intermediate,Standard,Not Completed,73,74,71,2
Female,Punjab,Primary or Below,Standard,Not Completed,46,58,59,0
Male,Punjab,Matric,Free/Reduced,Completed,63,81,79,1
Male,Balochistan,Bachelor's Degree,Standard,Not Completed,63,58,60,3
Male,Sindh,Intermediate,Free/Reduced,Completed,82,80,84,2
Female,Khyber Pakhtunkhwa,Primary or Below,Free/Reduced,Completed,79,82,81,0
Male,Sindh,Bachelor's Degree,Standard,Not Completed,68,68,68,3
Female,Punjab,Primary or Below,Free/Reduced,Completed,80,79,93,0
Female,Punjab,Matric,Free/Reduced,Completed,52,65,76,1
Male,Sindh,Bachelor's Degree,Standard,Not Completed,78,74,70,3
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,65,77,83,1
Female,Balochistan,Primary or Below,Standard,Not Completed,56,63,68,0
Male,Islamabad Capital Territory,Matric,Standard,Not Completed,58,72,63,1
Male,Sindh,Matric,Free/Reduced,Not Completed,57,66,67,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,55,71,75,3
Female,Punjab,Matric,Standard,Completed,82,90,100,1
Male,Balochistan,Intermediate,Standard,Not Completed,58,66,63,2
Female,Balochistan,Master's Degree,Standard,Completed,67,80,87,4
Female,Islamabad Capital Territory,Intermediate,Standard,Not Completed,68,70,70,2
Female,Islamabad Capital Territory,Master's Degree,Standard,Completed,87,87,96,4
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,66,65,64,2
Female,Punjab,Matric,Standard,Not Completed,71,75,74,1
Female,Balochistan,Primary or Below,Free/Reduced,Not Completed,57,69,67,0
Female,Punjab,Bachelor's Degree,Standard,Not Completed,59,65,64,3
Female,Punjab,Intermediate,Standard,Completed,74,85,91,2
Male,Sindh,Intermediate,Standard,Not Completed,56,70,73,2
Male,Balochistan,Master's Degree,Standard,Completed,74,83,83,4
Male,Punjab,Primary or Below,Standard,Completed,79,88,94,0
Female,Sindh,Matric,Standard,Not Completed,64,69,69,1
Male,Balochistan,Bachelor's Degree,Free/Reduced,Not Completed,71,73,72,3
Male,Punjab,Matric,Standard,Not Completed,75,78,75,1
Female,Balochistan,Matric,Standard,Completed,85,83,87,1
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,66,71,66,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,77,70,68,2
Male,Punjab,Primary or Below,Standard,Completed,66,81,81,0
Female,Punjab,Intermediate,Standard,Completed,71,74,83,2
Female,Punjab,Intermediate,Standard,Completed,80,89,92,2
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,63,79,78,1
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,51,64,60,1
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,75,83,85,1
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,51,62,59,1
Female,Sindh,Intermediate,Standard,Completed,81,84,87,2
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,64,70,70,2
Male,Punjab,Matric,Standard,Not Completed,58,66,67,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,71,77,74,3
Male,Balochistan,Intermediate,Free/Reduced,Not Completed,64,72,70,2
Female,Balochistan,Bachelor's Degree,Standard,Not Completed,54,64,59,3
Female,Punjab,Master's Degree,Free/Reduced,Completed,79,83,87,4
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,65,81,73,1
Female,Balochistan,Matric,Free/Reduced,Not Completed,70,69,74,1
Male,Sindh,Intermediate,Standard,Completed,76,72,82,2
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,62,84,87,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,65,76,68,3
Female,Sindh,Matric,Standard,Not Completed,65,72,74,1
Male,Punjab,Matric,Standard,Not Completed,69,68,63,1
Male,Sindh,Intermediate,Standard,Not Completed,75,72,79,2
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,64,69,69,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,84,79,75,3
Female,Sindh,Primary or Below,Free/Reduced,Not Completed,65,62,70,0
Female,Sindh,Matric,Standard,Not Completed,70,71,70,1
Female,Punjab,Intermediate,Free/Reduced,Not Completed,72,67,72,2
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Not Completed,68,68,70,2
Male,Punjab,Matric,Standard,Not Completed,63,62,68,1
Female,Punjab,Intermediate,Free/Reduced,Not Completed,54,59,71,2
Female,Sindh,Intermediate,Standard,Not Completed,60,67,67,2
Male,Sindh,Intermediate,Free/Reduced,Not Completed,59,60,60,2
Female,Punjab,Bachelor's Degree,Standard,Completed,80,81,89,3
Female,Sindh,Bachelor's Degree,Standard,Completed,55,74,79,3
Male,Punjab,Intermediate,Standard,Not Completed,54,60,60,2
Female,Punjab,Intermediate,Standard,Completed,76,79,81,2
Female,Sindh,Intermediate,Standard,Not Completed,73,78,73,2
Male,Punjab,Primary or Below,Standard,Not Completed,60,63,59,0
Male,Sindh,Matric,Standard,Not Completed,82,80,71,1
Male,Islamabad Capital Territory,Primary or Below,Standard,Not Completed,75,76,71,0
Male,Punjab,Matric,Free/Reduced,Not Completed,44,59,59,1
Male,Sindh,Primary or Below,Standard,Not Completed,78,77,80,0
Male,Punjab,Matric,Standard,Not Completed,57,63,61,1
Female,Punjab,Intermediate,Standard,Not Completed,71,80,74,2
Female,Punjab,Primary or Below,Free/Reduced,Completed,77,84,88,0
Female,Punjab,Matric,Standard,Not Completed,68,69,71,1
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,68,74,75,3
Male,Punjab,Intermediate,Standard,Not Completed,66,70,67,2
Female,Sindh,Intermediate,Standard,Not Completed,77,72,71,2
Male,Islamabad Capital Territory,Intermediate,Standard,Not Completed,68,66,67,2
Female,Sindh,Master's Degree,Standard,Not Completed,53,76,77,4
Female,Sindh,Matric,Standard,Not Completed,57,64,61,1
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Not Completed,53,63,61,3
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,65,68,65,2
Female,Sindh,Intermediate,Standard,Not Completed,62,61,60,2
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,74,72,73,3
Female,Punjab,Matric,Free/Reduced,Completed,66,80,87,1
Male,Punjab,Matric,Free/Reduced,Not Completed,51,63,59,1
Female,Sindh,Intermediate,Free/Reduced,Completed,66,75,83,2
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,71,75,73,1
Female,Balochistan,Primary or Below,Standard,Not Completed,60,61,65,0
Male,Punjab,Matric,Free/Reduced,Not Completed,70,72,63,1
Female,Sindh,Matric,Standard,Not Completed,56,68,71,1
Male,Sindh,Matric,Free/Reduced,Completed,67,76,84,1
Male,Sindh,Intermediate,Standard,Not Completed,76,68,70,2
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,70,72,67,3
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,64,70,68,3
Male,Punjab,Intermediate,Standard,Not Completed,77,73,66,2
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,63,72,71,3
Female,Punjab,Intermediate,Free/Reduced,Not Completed,48,61,63,2
Female,Balochistan,Intermediate,Standard,Not Completed,69,75,81,2
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,Completed,81,82,88,3
Male,Sindh,Bachelor's Degree,Standard,Not Completed,60,72,74,3
Female,Punjab,Matric,Standard,Completed,73,88,89,1
Female,Punjab,Intermediate,Free/Reduced,Not Completed,59,68,65,2
Female,Punjab,Bachelor's Degree,Standard,Completed,67,73,83,3
Female,Balochistan,Master's Degree,Free/Reduced,Completed,64,82,88,4
Female,Balochistan,Master's Degree,Free/Reduced,Not Completed,59,67,65,4
Female,Sindh,Matric,Free/Reduced,Not Completed,72,69,68,1
Female,Punjab,Matric,Standard,Completed,76,89,93,1
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,79,80,85,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,66,74,65,3
Male,Punjab,Matric,Standard,Not Completed,73,75,73,1
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,65,74,76,1
Male,Punjab,Primary or Below,Free/Reduced,Completed,48,65,72,0
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,69,79,73,2
Male,Punjab,Intermediate,Free/Reduced,Completed,92,87,92,2
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,69,82,90,0
Female,Punjab,Matric,Standard,Completed,81,84,90,1
Female,Punjab,Intermediate,Standard,Not Completed,73,74,76,2
Male,Punjab,Matric,Standard,Not Completed,80,70,68,1
Female,Balochistan,Intermediate,Standard,Not Completed,72,78,78,2
Female,Sindh,Master's Degree,Free/Reduced,Not Completed,57,68,71,4
Female,Punjab,Bachelor's Degree,Standard,Not Completed,57,71,66,3
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,81,76,71,3
Female,Punjab,Bachelor's Degree,Standard,Not Completed,68,74,76,3
Male,Punjab,Matric,Free/Reduced,Not Completed,57,68,68,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,73,80,83,3
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,61,69,73,2
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,82,86,82,3
Female,Punjab,Bachelor's Degree,Standard,Not Completed,54,65,62,3
Female,Balochistan,Intermediate,Standard,Not Completed,62,72,75,2
Male,Punjab,Bachelor's Degree,Standard,Not Completed,73,70,71,3
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,Not Completed,79,68,63,2
Male,Punjab,Bachelor's Degree,Standard,Not Completed,66,71,64,3
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,62,74,71,3
Male,Sindh,Intermediate,Free/Reduced,Completed,61,76,86,2
Male,Sindh,Intermediate,Free/Reduced,Completed,79,92,99,2
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,73,69,62,3
Female,Sindh,Intermediate,Standard,Not Completed,45,60,62,2
Female,Punjab,Intermediate,Standard,Not Completed,65,66,69,2
Female,Punjab,Intermediate,Standard,Not Completed,53,65,65,2
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,72,73,68,3
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,55,71,68,3
Female,Punjab,Matric,Standard,Completed,72,84,97,1
Female,Sindh,Primary or Below,Standard,Not Completed,81,79,77,0
Male,Sindh,Primary or Below,Standard,Not Completed,64,74,69,0
Female,Balochistan,Intermediate,Standard,Not Completed,73,72,70,2
Female,Sindh,Bachelor's Degree,Standard,Not Completed,69,77,78,3
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Not Completed,68,76,79,2
Female,Punjab,Master's Degree,Free/Reduced,Not Completed,73,72,69,4
Female,Punjab,Intermediate,Standard,Not Completed,65,78,77,2
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,60,74,74,3
Male,Punjab,Matric,Standard,Completed,49,78,87,1
Male,Punjab,Master's Degree,Standard,Completed,75,83,86,4
Female,Punjab,Primary or Below,Standard,Not Completed,75,79,77,0
Male,Sindh,Bachelor's Degree,Standard,Completed,87,82,89,3
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,84,87,97,3
Female,Punjab,Master's Degree,Free/Reduced,Completed,74,78,82,4
Male,Punjab,Master's Degree,Standard,Completed,91,84,89,4
Male,Balochistan,Intermediate,Standard,Completed,58,68,78,2
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,61,79,84,3
Male,Punjab,Master's Degree,Free/Reduced,Not Completed,59,61,64,4
Female,Punjab,Bachelor's Degree,Standard,Not Completed,83,79,77,3
Female,Punjab,Matric,Standard,Completed,60,67,75,1
Male,Punjab,Intermediate,Standard,Not Completed,71,71,72,2
Female,Punjab,Master's Degree,Standard,Completed,69,79,81,4
Male,Sindh,Master's Degree,Standard,Not Completed,77,75,75,4
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,75,83,82,3
Female,Sindh,Bachelor's Degree,Standard,Completed,67,76,84,3
Female,Sindh,Bachelor's Degree,Standard,Not Completed,63,71,71,3
Female,Sindh,Intermediate,Standard,Not Completed,75,79,78,2
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,57,63,69,1
Female,Punjab,Matric,Standard,Not Completed,80,78,76,1
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,61,74,84,3
Male,Sindh,Matric,Standard,Completed,80,78,77,1
Female,Punjab,Bachelor's Degree,Standard,Completed,56,71,77,3
Male,Punjab,Intermediate,Standard,Completed,70,83,93,2
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,73,72,72,2
Female,Balochistan,Bachelor's Degree,Standard,Completed,68,80,86,3
Female,Islamabad Capital Territory,Master's Degree,Standard,Completed,78,88,96,4
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,79,77,78,0
Male,Punjab,Matric,Standard,Not Completed,76,69,77,1
Male,Punjab,Matric,Free/Reduced,Not Completed,68,66,67,1
Female,Sindh,Bachelor's Degree,Standard,Completed,77,84,92,3
Female,Punjab,Master's Degree,Free/Reduced,Completed,85,90,100,4
Female,Sindh,Matric,Standard,Completed,71,81,89,1
Male,Punjab,Bachelor's Degree,Standard,Completed,80,92,94,3
Male,Punjab,Matric,Standard,Completed,85,82,78,1
Male,Balochistan,Intermediate,Free/Reduced,Completed,77,77,80,2
Male,Punjab,Intermediate,Standard,Completed,60,71,77,2
Female,Punjab,Bachelor's Degree,Standard,Not Completed,81,86,84,3
Female,Punjab,Bachelor's Degree,Standard,Not Completed,62,65,68,3
Female,Sindh,Matric,Standard,Completed,84,94,98,1
Male,Punjab,Matric,Free/Reduced,Not Completed,67,73,70,1
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,69,82,84,2
Female,Sindh,Primary or Below,Free/Reduced,Completed,70,79,86,0
Female,Islamabad Capital Territory,Matric,Standard,Not Completed,72,71,69,1
Male,Balochistan,Intermediate,Free/Reduced,Completed,81,85,85,2
Male,Punjab,Primary or Below,Free/Reduced,Completed,56,69,70,0
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,63,66,71,1
Male,Sindh,Intermediate,Standard,Not Completed,59,62,65,2
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Not Completed,64,74,73,0
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Not Completed,72,71,74,4
Male,Balochistan,Intermediate,Standard,Completed,80,83,81,2
Male,Sindh,Intermediate,Free/Reduced,Not Completed,63,67,63,2
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,61,67,73,3
Female,Sindh,Matric,Standard,Not Completed,85,76,74,1
Male,Balochistan,Matric,Standard,Completed,75,77,76,1
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,69,68,66,1
Female,Islamabad Capital Territory,Primary or Below,Standard,Completed,52,67,71,0
Female,Sindh,Matric,Free/Reduced,Completed,79,80,94,1
Female,Punjab,Bachelor's Degree,Standard,Not Completed,64,69,74,3
Male,Balochistan,Intermediate,Standard,Completed,50,71,79,2
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,78,86,90,1
Female,Sindh,Matric,Free/Reduced,Not Completed,58,63,69,1
Female,Sindh,Master's Degree,Free/Reduced,Not Completed,52,69,72,4
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,57,64,59,3
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,82,82,74,1
Female,Sindh,Primary or Below,Free/Reduced,Not Completed,60,65,62,0
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Not Completed,80,82,85,3
Male,Punjab,Matric,Free/Reduced,Completed,67,73,78,1
Female,Punjab,Intermediate,Free/Reduced,Completed,68,77,82,2
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Not Completed,79,78,76,3
Female,Islamabad Capital Territory,Master's Degree,Standard,Not Completed,46,60,68,4
Male,Punjab,Matric,Standard,Completed,65,76,81,1
Male,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,56,66,62,3
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,58,61,65,2
Male,Punjab,Matric,Standard,Not Completed,59,66,65,1
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,50,71,71,1
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,39,57,59,3
Female,Sindh,Bachelor's Degree,Free/Reduced,Not Completed,47,72,68,3
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,72,78,83,2
Female,Punjab,Intermediate,Standard,Completed,62,73,82,2
Female,Sindh,Bachelor's Degree,Standard,Completed,76,87,88,3
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,49,65,60,3
Male,Punjab,Bachelor's Degree,Standard,Completed,79,81,94,3
Female,Sindh,Matric,Standard,Not Completed,67,76,73,1
Female,Balochistan,Matric,Free/Reduced,Not Completed,81,83,75,1
Female,Islamabad Capital Territory,Intermediate,Standard,Not Completed,48,60,64,2
Male,Punjab,Master's Degree,Standard,Not Completed,61,65,71,4
Female,Sindh,Intermediate,Standard,Not Completed,77,82,82,2
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,83,76,81,2
Female,Punjab,Intermediate,Standard,Completed,80,84,83,2
Male,Punjab,Master's Degree,Standard,Completed,75,72,79,4
Male,Punjab,Intermediate,Standard,Not Completed,69,67,69,2
Female,Punjab,Matric,Standard,Completed,52,67,82,1
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,82,85,91,3
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,Not Completed,60,62,67,4
Male,Sindh,Intermediate,Standard,Completed,82,85,91,2
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,81,87,84,1
Female,Sindh,Matric,Standard,Not Completed,65,74,75,1
Male,Punjab,Matric,Standard,Not Completed,71,71,73,1
Male,Punjab,Intermediate,Standard,Not Completed,50,56,62,2
Female,Balochistan,Bachelor's Degree,Standard,Not Completed,69,72,70,3
Male,Punjab,Primary or Below,Standard,Completed,79,84,84,0
Male,Balochistan,Intermediate,Standard,Not Completed,61,72,73,2
Female,Punjab,Intermediate,Free/Reduced,Not Completed,72,72,77,2
Female,Punjab,Primary or Below,Standard,Not Completed,63,69,64,0
Male,Sindh,Primary or Below,Standard,Not Completed,62,68,68,0
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Completed,70,82,92,3
Male,Sindh,Bachelor's Degree,Standard,Completed,84,88,92,3
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Not Completed,69,72,70,4
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,76,72,76,1
Male,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,75,74,68,1
Female,Punjab,Matric,Standard,Completed,83,93,89,1
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,69,71,67,3
Male,Punjab,Matric,Standard,Not Completed,64,63,63,1
Male,Punjab,Master's Degree,Standard,Not Completed,69,70,70,4
Female,Sindh,Intermediate,Standard,Completed,77,82,84,2
Male,Sindh,Primary or Below,Free/Reduced,Completed,75,79,77,0
Male,Sindh,Matric,Standard,Completed,70,77,86,1
Female,Punjab,Matric,Standard,Completed,80,85,94,1
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,71,75,81,2
Male,Punjab,Intermediate,Standard,Completed,59,70,76,2
Female,Sindh,Bachelor's Degree,Standard,Not Completed,61,69,71,3
Male,Punjab,Matric,Standard,Not Completed,53,66,63,1
Female,Sindh,Intermediate,Free/Reduced,Not Completed,44,53,56,2
Male,Sindh,Master's Degree,Standard,Completed,70,78,81,4
Female,Islamabad Capital Territory,Master's Degree,Free/Reduced,Completed,71,83,81,4
Male,Punjab,Primary or Below,Standard,Completed,74,83,82,0
Male,Punjab,Bachelor's Degree,Standard,Not Completed,78,76,73,3
Female,Punjab,Bachelor's Degree,Standard,Not Completed,80,73,68,3
Female,Balochistan,Bachelor's Degree,Standard,Not Completed,74,77,71,3
Female,Sindh,Primary or Below,Standard,Not Completed,68,73,69,0
Male,Punjab,Intermediate,Free/Reduced,Not Completed,57,74,72,2
Male,Punjab,Matric,Standard,Not Completed,58,65,60,1
Female,Sindh,Master's Degree,Standard,Not Completed,57,75,81,4
Female,Punjab,Matric,Standard,Completed,81,83,88,1
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,65,75,84,3
Male,Islamabad Capital Territory,Matric,Free/Reduced,Completed,64,78,79,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,72,71,69,2
Male,Punjab,Intermediate,Standard,Completed,57,69,75,2
Female,Punjab,Intermediate,Free/Reduced,Not Completed,56,65,69,2
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Not Completed,74,73,71,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,64,73,69,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,66,68,65,3
Female,Punjab,Primary or Below,Standard,Not Completed,57,68,66,0
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,80,82,83,3
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,86,86,80,2
Male,Punjab,Intermediate,Standard,Not Completed,74,79,82,2
Male,Punjab,Master's Degree,Free/Reduced,Completed,54,74,79,4
Male,Punjab,Bachelor's Degree,Standard,Not Completed,63,65,66,3
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,68,77,80,2
Male,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,Not Completed,54,70,73,4
Female,Sindh,Bachelor's Degree,Free/Reduced,Completed,79,83,88,3
Female,Punjab,Matric,Standard,Completed,83,84,81,1
Female,Punjab,Matric,Standard,Not Completed,62,73,68,1
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,Not Completed,62,71,74,3
Male,Punjab,Primary or Below,Free/Reduced,Not Completed,71,75,78,0
Male,Punjab,Primary or Below,Free/Reduced,Not Completed,69,69,59,0
Female,Punjab,Intermediate,Standard,Completed,74,86,94,2
Female,Sindh,Matric,Standard,Not Completed,73,74,76,1
Female,Khyber Pakhtunkhwa,Master's Degree,Standard,Completed,71,82,88,4
Male,Balochistan,Matric,Standard,Not Completed,54,60,55,1
Female,Sindh,Intermediate,Standard,Not Completed,58,70,72,2
Male,Sindh,Intermediate,Free/Reduced,Completed,70,85,90,2
Female,Sindh,Primary or Below,Standard,Not Completed,56,66,66,0
Female,Balochistan,Master's Degree,Standard,Not Completed,61,63,65,4
Male,Punjab,Primary or Below,Standard,Completed,74,73,88,0
Male,Punjab,Master's Degree,Standard,Completed,74,81,85,4
Male,Islamabad Capital Territory,Master's Degree,Standard,Completed,68,88,88,4
Female,Punjab,Master's Degree,Standard,Not Completed,76,78,74,4
Female,Sindh,Intermediate,Standard,Completed,72,79,80,2
Female,Sindh,Intermediate,Free/Reduced,Not Completed,55,59,58,2
Female,Sindh,Bachelor's Degree,Standard,Completed,82,78,79,3
Female,Sindh,Intermediate,Free/Reduced,Not Completed,55,65,65,2
Female,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,54,62,60,3
Female,Punjab,Primary or Below,Standard,Not Completed,72,79,77,0
Male,Balochistan,Bachelor's Degree,Standard,Not Completed,85,75,60,3
Female,Punjab,Master's Degree,Free/Reduced,Not Completed,75,82,77,4
Male,Sindh,Matric,Free/Reduced,Not Completed,57,67,66,1
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,70,65,71,1
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,81,84,86,3
Male,Sindh,Matric,Standard,Completed,81,85,89,1
Male,Punjab,Bachelor's Degree,Standard,Not Completed,61,66,69,3
Female,Punjab,Matric,Free/Reduced,Not Completed,61,75,74,1
Male,Sindh,Intermediate,Standard,Completed,88,92,92,2
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Not Completed,74,67,67,3
Female,Punjab,Matric,Standard,Not Completed,71,64,64,1
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,91,95,92,2
Male,Sindh,Bachelor's Degree,Standard,Not Completed,56,70,68,3
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,73,84,89,3
Male,Punjab,Bachelor's Degree,Standard,Not Completed,59,64,69,3
Female,Punjab,Intermediate,Standard,Not Completed,74,74,77,2
Male,Sindh,Intermediate,Standard,Completed,85,84,84,2
Male,Punjab,Intermediate,Free/Reduced,Not Completed,63,69,62,2
Male,Sindh,Matric,Free/Reduced,Not Completed,48,61,62,1
Female,Punjab,Intermediate,Standard,Not Completed,75,72,75,2
Male,Sindh,Master's Degree,Standard,Not Completed,70,74,77,4
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,66,70,75,2
Female,Khyber Pakhtunkhwa,Matric,Standard,Not Completed,70,75,81,1
Male,Balochistan,Intermediate,Standard,Completed,71,88,88,2
Male,Punjab,Intermediate,Free/Reduced,Not Completed,71,74,76,2
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Not Completed,75,69,72,1
Female,Punjab,Master's Degree,Standard,Not Completed,91,86,85,4
Female,Sindh,Bachelor's Degree,Standard,Completed,88,87,93,3
Male,Balochistan,Matric,Standard,Not Completed,61,66,60,1
Female,Sindh,Intermediate,Standard,Not Completed,68,66,63,2
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Not Completed,69,71,80,2
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,67,76,77,2
Female,Sindh,Bachelor's Degree,Standard,Not Completed,66,66,67,3
Female,Punjab,Intermediate,Standard,Not Completed,61,66,68,2
Male,Punjab,Matric,Free/Reduced,Completed,77,78,80,1
Male,Sindh,Intermediate,Free/Reduced,Not Completed,59,64,61,2
Male,Sindh,Matric,Standard,Not Completed,67,67,67,1
Female,Punjab,Intermediate,Standard,Not Completed,66,69,68,2
Male,Punjab,Bachelor's Degree,Free/Reduced,Not Completed,60,72,68,3
Female,Punjab,Primary or Below,Standard,Completed,61,75,79,0
Female,Punjab,Intermediate,Free/Reduced,Not Completed,66,72,72,2
Male,Punjab,Matric,Free/Reduced,Not Completed,63,71,70,1
Male,Punjab,Matric,Standard,Completed,67,74,83,1
Female,Punjab,Primary or Below,Standard,Not Completed,59,72,79,0
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,80,80,82,2
Male,Sindh,Intermediate,Standard,Completed,65,77,78,2
