gender,province,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,71,77,74
Male,Balochistan,Intermediate,Free/Reduced,None,64,72,70
Female,Balochistan,Bachelor's Degree,Standard,None,54,64,59
Female,Punjab,Master's Degree,Free/Reduced,Completed,79,83,87
Female,Khyber Pakhtunkhwa,Matric,Standard,Completed,65,81,73
Female,Balochistan,Matric,Free/Reduced,None,70,69,74
Male,Sindh,Intermediate,Standard,Completed,76,72,82
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,62,84,87
Male,Punjab,Bachelor's Degree,Standard,None,65,76,68
Female,Sindh,Matric,Standard,None,65,72,74
Male,Punjab,Matric,Standard,None,69,68,63
Male,Sindh,Intermediate,Standard,None,75,72,79
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,64,69,69
Male,Punjab,Bachelor's Degree,Standard,None,84,79,75
Female,Sindh,Primary or Below,Free/Reduced,None,65,62,70
Female,Sindh,Matric,Standard,None,70,71,70
Female,Punjab,Intermediate,Free/Reduced,None,72,67,72
Female,Khyber Pakhtunkhwa,Intermediate,Standard,None,68,68,70
Male,Punjab,Matric,Standard,None,63,62,68
Female,Punjab,Intermediate,Free/Reduced,None,54,59,71
Female,Sindh,Intermediate,Standard,None,60,67,67
Male,Sindh,Intermediate,Free/Reduced,None,59,60,60
Female,Punjab,Bachelor's Degree,Standard,Completed,80,81,89
Female,Sindh,Bachelor's Degree,Standard,Completed,55,74,79
Male,Punjab,Intermediate,Standard,None,54,60,60
Female,Punjab,Intermediate,Standard,Completed,76,79,81
Female,Sindh,Intermediate,Standard,None,73,78,73
Male,Punjab,Primary or Below,Standard,None,60,63,59
Male,Sindh,Matric,Standard,None,82,80,71
Male,Islamabad Capital Territory,Primary or Below,Standard,None,75,76,71
Male,Punjab,Matric,Free/Reduced,None,44,59,59
Male,Sindh,Primary or Below,Standard,None,78,77,80
Male,Punjab,Matric,Standard,None,57,63,61
Female,Punjab,Intermediate,Standard,None,71,80,74
Female,Punjab,Primary or Below,Free/Reduced,Completed,77,84,88
Female,Punjab,Matric,Standard,None,68,69,71
Female,Punjab,Bachelor's Degree,Free/Reduced,None,68,74,75
Male,Punjab,Intermediate,Standard,None,66,70,67
Female,Sindh,Intermediate,Standard,None,77,72,71
Male,Islamabad Capital Territory,Intermediate,Standard,None,68,66,67
Female,Sindh,Master's Degree,Standard,None,53,76,77
Female,Sindh,Matric,Standard,None,57,64,61
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,53,63,61
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,65,68,65
Female,Sindh,Intermediate,Standard,None,62,61,60
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,74,72,73
Female,Punjab,Matric,Free/Reduced,Completed,66,80,87
Male,Punjab,Matric,Free/Reduced,None,51,63,59
Female,Sindh,Intermediate,Free/Reduced,Completed,66,75,83
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,71,75,73
Female,Balochistan,Primary or Below,Standard,None,60,61,65
Male,Punjab,Matric,Free/Reduced,None,70,72,63
Female,Sindh,Matric,Standard,None,56,68,71
Male,Sindh,Matric,Free/Reduced,Completed,67,76,84
Male,Sindh,Intermediate,Standard,None,76,68,70
Female,Punjab,Bachelor's Degree,Free/Reduced,None,70,72,67
Male,Sindh,Bachelor's Degree,Free/Reduced,None,64,70,68
Male,Punjab,Intermediate,Standard,None,77,73,66
Female,Sindh,Bachelor's Degree,Free/Reduced,None,63,72,71
Female,Punjab,Intermediate,Free/Reduced,None,48,61,63
Female,Balochistan,Intermediate,Standard,None,69,75,81
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,Completed,81,82,88
Male,Sindh,Bachelor's Degree,Standard,None,60,72,74
Female,Punjab,Matric,Standard,Completed,73,88,89
Female,Punjab,Intermediate,Free/Reduced,None,59,68,65
Female,Punjab,Bachelor's Degree,Standard,Completed,67,73,83
Female,Balochistan,Master's Degree,Free/Reduced,Completed,64,82,88
Female,Balochistan,Master's Degree,Free/Reduced,None,59,67,65
Female,Sindh,Matric,Free/Reduced,None,72,69,68
Female,Punjab,Matric,Standard,Completed,76,89,93
Female,Sindh,Bachelor's Degree,Free/Reduced,None,79,80,85
Male,Punjab,Bachelor's Degree,Free/Reduced,None,66,74,65
Male,Punjab,Matric,Standard,None,73,75,73
Female,Khyber Pakhtunkhwa,Matric,Standard,None,65,74,76
Male,Punjab,Primary or Below,Free/Reduced,Completed,48,65,72
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,69,79,73
Male,Punjab,Intermediate,Free/Reduced,Completed,92,87,92
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,69,82,90
Female,Punjab,Matric,Standard,Completed,81,84,90
Female,Punjab,Intermediate,Standard,None,73,74,76
Male,Punjab,Matric,Standard,None,80,70,68
Female,Balochistan,Intermediate,Standard,None,72,78,78
Female,Sindh,Master's Degree,Free/Reduced,None,57,68,71
Female,Punjab,Bachelor's Degree,Standard,None,57,71,66
Male,Punjab,Bachelor's Degree,Free/Reduced,None,81,76,71
Female,Punjab,Bachelor's Degree,Standard,None,68,74,76
Male,Punjab,Matric,Free/Reduced,None,57,68,68
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,73,80,83
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,61,69,73
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,82,86,82
Female,Punjab,Bachelor's Degree,Standard,None,54,65,62
Female,Balochistan,Intermediate,Standard,None,62,72,75
Male,Punjab,Bachelor's Degree,Standard,None,73,70,71
Male,Islamabad Capital Territory,Intermediate,Free/Reduced,None,79,68,63
Male,Punjab,Bachelor's Degree,Standard,None,66,71,64
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,62,74,71
Male,Sindh,Intermediate,Free/Reduced,Completed,61,76,86
Male,Sindh,Intermediate,Free/Reduced,Completed,79,92,99
Male,Punjab,Bachelor's Degree,Free/Reduced,None,73,69,62
Female,Sindh,Intermediate,Standard,None,45,60,62
Female,Punjab,Intermediate,Standard,None,65,66,69
Female,Punjab,Intermediate,Standard,None,53,65,65
Male,Islamabad Capital Territory,Bachelor's Degree,Standard,None,72,73,68
Female,Sindh,Bachelor's Degree,Free/Reduced,None,55,71,68
Female,Punjab,Matric,Standard,Completed,72,84,97
Female,Sindh,Primary or Below,Standard,None,81,79,77
Male,Sindh,Primary or Below,Standard,None,64,74,69
Female,Balochistan,Intermediate,Standard,None,73,72,70
Female,Sindh,Bachelor's Degree,Standard,None,69,77,78
Female,Khyber Pakhtunkhwa,Intermediate,Standard,None,68,76,79
Female,Punjab,Master's Degree,Free/Reduced,None,73,72,69
Female,Punjab,Intermediate,Standard,None,65,78,77
Female,Punjab,Bachelor's Degree,Free/Reduced,None,60,74,74
Male,Punjab,Matric,Standard,Completed,49,78,87
Male,Punjab,Master's Degree,Standard,Completed,75,83,86
Female,Punjab,Primary or Below,Standard,None,75,79,77
Male,Sindh,Bachelor's Degree,Standard,Completed,87,82,89
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,84,87,97
Female,Punjab,Master's Degree,Free/Reduced,Completed,74,78,82
Male,Punjab,Master's Degree,Standard,Completed,91,84,89
Male,Balochistan,Intermediate,Standard,Completed,58,68,78
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,61,79,84
Male,Punjab,Master's Degree,Free/Reduced,None,59,61,64
Female,Punjab,Bachelor's Degree,Standard,None,83,79,77
Female,Punjab,Matric,Standard,Completed,60,67,75
Male,Punjab,Intermediate,Standard,None,71,71,72
Female,Punjab,Master's Degree,Standard,Completed,69,79,81
Male,Sindh,Master's Degree,Standard,None,77,75,75
Female,Sindh,Bachelor's Degree,Free/Reduced,None,75,83,82
Female,Sindh,Bachelor's Degree,Standard,Completed,67,76,84
Female,Sindh,Bachelor's Degree,Standard,None,63,71,71
Female,Sindh,Intermediate,Standard,None,75,79,78
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,57,63,69
Female,Punjab,Matric,Standard,None,80,78,76
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,61,74,84
Male,Sindh,Matric,Standard,Completed,80,78,77
Female,Punjab,Bachelor's Degree,Standard,Completed,56,71,77
Male,Punjab,Intermediate,Standard,Completed,70,83,93
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,73,72,72
Female,Balochistan,Bachelor's Degree,Standard,Completed,68,80,86
Female,Islamabad Capital Territory,Master's Degree,Standard,Completed,78,88,96
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,Completed,79,77,78
Male,Punjab,Matric,Standard,None,76,69,77
Male,Punjab,Matric,Free/Reduced,None,68,66,67
Female,Sindh,Bachelor's Degree,Standard,Completed,77,84,92
Female,Punjab,Master's Degree,Free/Reduced,Completed,85,90,100
Female,Sindh,Matric,Standard,Completed,71,81,89
Male,Punjab,Bachelor's Degree,Standard,Completed,80,92,94
Male,Punjab,Matric,Standard,Completed,85,82,78
Male,Balochistan,Intermediate,Free/Reduced,Completed,77,77,80
Male,Punjab,Intermediate,Standard,Completed,60,71,77
Female,Punjab,Bachelor's Degree,Standard,None,81,86,84
Female,Punjab,Bachelor's Degree,Standard,None,62,65,68
Female,Sindh,Matric,Standard,Completed,84,94,98
Male,Punjab,Matric,Free/Reduced,None,67,73,70
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,69,82,84
Female,Sindh,Primary or Below,Free/Reduced,Completed,70,79,86
Female,Islamabad Capital Territory,Matric,Standard,None,72,71,69
Male,Balochistan,Intermediate,Free/Reduced,Completed,81,85,85
Male,Punjab,Primary or Below,Free/Reduced,Completed,56,69,70
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,63,66,71
Male,Sindh,Intermediate,Standard,None,59,62,65
Male,Khyber Pakhtunkhwa,Primary or Below,Standard,None,64,74,73
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,None,72,71,74
Male,Balochistan,Intermediate,Standard,Completed,80,83,81
Male,Sindh,Intermediate,Free/Reduced,None,63,67,63
Male,Punjab,Bachelor's Degree,Free/Reduced,None,61,67,73
Female,Sindh,Matric,Standard,None,85,76,74
Male,Balochistan,Matric,Standard,Completed,75,77,76
Male,Khyber Pakhtunkhwa,Matric,Standard,None,69,68,66
Female,Islamabad Capital Territory,Primary or Below,Standard,Completed,52,67,71
Female,Sindh,Matric,Free/Reduced,Completed,79,80,94
Female,Punjab,Bachelor's Degree,Standard,None,64,69,74
Male,Balochistan,Intermediate,Standard,Completed,50,71,79
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,78,86,90
Female,Sindh,Matric,Free/Reduced,None,58,63,69
Female,Sindh,Master's Degree,Free/Reduced,None,52,69,72
Female,Punjab,Bachelor's Degree,Free/Reduced,None,57,64,59
Male,Khyber Pakhtunkhwa,Matric,Standard,None,82,82,74
Female,Sindh,Primary or Below,Free/Reduced,None,60,65,62
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,None,80,82,85
Male,Punjab,Matric,Free/Reduced,Completed,67,73,78
Female,Punjab,Intermediate,Free/Reduced,Completed,68,77,82
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,None,79,78,76
Female,Islamabad Capital Territory,Master's Degree,Standard,None,46,60,68
Male,Punjab,Matric,Standard,Completed,65,76,81
Male,Sindh,Bachelor's Degree,Free/Reduced,None,56,66,62
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,58,61,65
Male,Punjab,Matric,Standard,None,59,66,65
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,Completed,50,71,71
Female,Punjab,Bachelor's Degree,Free/Reduced,None,39,57,59
Female,Sindh,Bachelor's Degree,Free/Reduced,None,47,72,68
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,72,78,83
Female,Punjab,Intermediate,Standard,Completed,62,73,82
Female,Sindh,Bachelor's Degree,Standard,Completed,76,87,88
Female,Punjab,Bachelor's Degree,Free/Reduced,None,49,65,60
Male,Punjab,Bachelor's Degree,Standard,Completed,79,81,94
Female,Sindh,Matric,Standard,None,67,76,73
Female,Balochistan,Matric,Free/Reduced,None,81,83,75
Female,Islamabad Capital Territory,Intermediate,Standard,None,48,60,64
Male,Punjab,Master's Degree,Standard,None,61,65,71
Female,Sindh,Intermediate,Standard,None,77,82,82
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,83,76,81
Female,Punjab,Intermediate,Standard,Completed,80,84,83
Male,Punjab,Master's Degree,Standard,Completed,75,72,79
Male,Punjab,Intermediate,Standard,None,69,67,69
Female,Punjab,Matric,Standard,Completed,52,67,82
Female,Punjab,Bachelor's Degree,Free/Reduced,Completed,82,85,91
Female,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,60,62,67
Male,Sindh,Intermediate,Standard,Completed,82,85,91
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,81,87,84
Female,Sindh,Matric,Standard,None,65,74,75
Male,Punjab,Matric,Standard,None,71,71,73
Male,Punjab,Intermediate,Standard,None,50,56,62
Female,Balochistan,Bachelor's Degree,Standard,None,69,72,70
Male,Punjab,Primary or Below,Standard,Completed,79,84,84
Male,Balochistan,Intermediate,Standard,None,61,72,73
Female,Punjab,Intermediate,Free/Reduced,None,72,72,77
Female,Punjab,Primary or Below,Standard,None,63,69,64
Male,Sindh,Primary or Below,Standard,None,62,68,68
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Free/Reduced,Completed,70,82,92
Male,Sindh,Bachelor's Degree,Standard,Completed,84,88,92
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,None,69,72,70
Female,Khyber Pakhtunkhwa,Matric,Standard,None,76,72,76
Male,Khyber Pakhtunkhwa,Matric,Standard,None,75,74,68
Female,Punjab,Matric,Standard,Completed,83,93,89
Male,Punjab,Bachelor's Degree,Free/Reduced,None,69,71,67
Male,Punjab,Matric,Standard,None,64,63,63
Male,Punjab,Master's Degree,Standard,None,69,70,70
Female,Sindh,Intermediate,Standard,Completed,77,82,84
Male,Sindh,Primary or Below,Free/Reduced,Completed,75,79,77
Male,Sindh,Matric,Standard,Completed,70,77,86
Female,Punjab,Matric,Standard,Completed,80,85,94
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,71,75,81
Male,Punjab,Intermediate,Standard,Completed,59,70,76
Female,Sindh,Bachelor's Degree,Standard,None,61,69,71
Male,Punjab,Matric,Standard,None,53,66,63
Female,Sindh,Intermediate,Free/Reduced,None,44,53,56
Male,Sindh,Master's Degree,Standard,Completed,70,78,81
Female,Islamabad Capital Territory,Master's Degree,Free/Reduced,Completed,71,83,81
Male,Punjab,Primary or Below,Standard,Completed,74,83,82
Male,Punjab,Bachelor's Degree,Standard,None,78,76,73
Female,Punjab,Bachelor's Degree,Standard,None,80,73,68
Female,Balochistan,Bachelor's Degree,Standard,None,74,77,71
Female,Sindh,Primary or Below,Standard,None,68,73,69
Male,Punjab,Intermediate,Free/Reduced,None,57,74,72
Male,Punjab,Matric,Standard,None,58,65,60
Female,Sindh,Master's Degree,Standard,None,57,75,81
Female,Punjab,Matric,Standard,Completed,81,83,88
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,65,75,84
Male,Islamabad Capital Territory,Matric,Free/Reduced,Completed,64,78,79
Male,Sindh,Intermediate,Free/Reduced,None,72,71,69
Male,Punjab,Intermediate,Standard,Completed,57,69,75
Female,Punjab,Intermediate,Free/Reduced,None,56,65,69
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,None,74,73,71
Male,Sindh,Bachelor's Degree,Standard,None,64,73,69
Male,Punjab,Bachelor's Degree,Standard,None,66,68,65
Female,Punjab,Primary or Below,Standard,None,57,68,66
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,80,82,83
Female,Islamabad Capital Territory,Intermediate,Standard,Completed,86,86,80
Male,Punjab,Intermediate,Standard,None,74,79,82
Male,Punjab,Master's Degree,Free/Reduced,Completed,54,74,79
Male,Punjab,Bachelor's Degree,Standard,None,63,65,66
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,68,77,80
Male,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,None,54,70,73
Female,Sindh,Bachelor's Degree,Free/Reduced,Completed,79,83,88
Female,Punjab,Matric,Standard,Completed,83,84,81
Female,Punjab,Matric,Standard,None,62,73,68
Male,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,None,62,71,74
Male,Punjab,Primary or Below,Free/Reduced,None,71,75,78
Male,Punjab,Primary or Below,Free/Reduced,None,69,69,59
Female,Punjab,Intermediate,Standard,Completed,74,86,94
Female,Sindh,Matric,Standard,None,73,74,76
Female,Khyber Pakhtunkhwa,Master's Degree,Standard,Completed,71,82,88
Male,Balochistan,Matric,Standard,None,54,60,55
Female,Sindh,Intermediate,Standard,None,58,70,72
Male,Sindh,Intermediate,Free/Reduced,Completed,70,85,90
Female,Sindh,Primary or Below,Standard,None,56,66,66
Female,Balochistan,Master's Degree,Standard,None,61,63,65
Male,Punjab,Primary or Below,Standard,Completed,74,73,88
Male,Punjab,Master's Degree,Standard,Completed,74,81,85
Male,Islamabad Capital Territory,Master's Degree,Standard,Completed,68,88,88
Female,Punjab,Master's Degree,Standard,None,76,78,74
Female,Sindh,Intermediate,Standard,Completed,72,79,80
Female,Sindh,Intermediate,Free/Reduced,None,55,59,58
Female,Sindh,Bachelor's Degree,Standard,Completed,82,78,79
Female,Sindh,Intermediate,Free/Reduced,None,55,65,65
Female,Punjab,Bachelor's Degree,Free/Reduced,None,54,62,60
Female,Punjab,Primary or Below,Standard,None,72,79,77
Male,Balochistan,Bachelor's Degree,Standard,None,85,75,60
Female,Punjab,Master's Degree,Free/Reduced,None,75,82,77
Male,Sindh,Matric,Free/Reduced,None,57,67,66
Female,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,70,65,71
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,81,84,86
Male,Sindh,Matric,Standard,Completed,81,85,89
Male,Punjab,Bachelor's Degree,Standard,None,61,66,69
Female,Punjab,Matric,Free/Reduced,None,61,75,74
Male,Sindh,Intermediate,Standard,Completed,88,92,92
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,74,67,67
Female,Punjab,Matric,Standard,None,71,64,64
Female,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,91,95,92
Male,Sindh,Bachelor's Degree,Standard,None,56,70,68
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,73,84,89
Male,Punjab,Bachelor's Degree,Standard,None,59,64,69
Female,Punjab,Intermediate,Standard,None,74,74,77
Male,Sindh,Intermediate,Standard,Completed,85,84,84
Male,Punjab,Intermediate,Free/Reduced,None,63,69,62
Male,Sindh,Matric,Free/Reduced,None,48,61,62
Female,Punjab,Intermediate,Standard,None,75,72,75
Male,Sindh,Master's Degree,Standard,None,70,74,77
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,66,70,75
Female,Khyber Pakhtunkhwa,Matric,Standard,None,70,75,81
Male,Balochistan,Intermediate,Standard,Completed,71,88,88
Male,Punjab,Intermediate,Free/Reduced,None,71,74,76
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,75,69,72
Female,Punjab,Master's Degree,Standard,None,91,86,85
Female,Sindh,Bachelor's Degree,Standard,Completed,88,87,93
Male,Balochistan,Matric,Standard,None,61,66,60
Female,Sindh,Intermediate,Standard,None,68,66,63
Female,Khyber Pakhtunkhwa,Intermediate,Standard,None,69,71,80
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,67,76,77
Female,Sindh,Bachelor's Degree,Standard,None,66,66,67
Female,Punjab,Intermediate,Standard,None,61,66,68
Male,Punjab,Matric,Free/Reduced,Completed,77,78,80
Male,Sindh,Intermediate,Free/Reduced,None,59,64,61
Male,Sindh,Matric,Standard,None,67,67,67
Female,Punjab,Intermediate,Standard,None,66,69,68
Male,Punjab,Bachelor's Degree,Free/Reduced,None,60,72,68
Female,Punjab,Primary or Below,Standard,Completed,61,75,79
Female,Punjab,Intermediate,Free/Reduced,None,66,72,72
Male,Punjab,Matric,Free/Reduced,None,63,71,70
Male,Punjab,Matric,Standard,Completed,67,74,83
Female,Punjab,Primary or Below,Standard,None,59,72,79
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,80,80,82
Male,Sindh,Intermediate,Standard,Completed,65,77,78
Female,Balochistan,Master's Degree,Standard,None,66,74,82
Female,Punjab,Intermediate,Standard,None,76,74,74
Female,Punjab,Matric,Standard,None,75,73,71
Female,Balochistan,Bachelor's Degree,Standard,Completed,72,82,90
Female,Punjab,Intermediate,Standard,None,67,67,64
Male,Punjab,Bachelor's Degree,Free/Reduced,Completed,96,91,97
Male,Sindh,Primary or Below,Standard,None,56,66,66
Male,Khyber Pakhtunkhwa,Matric,Standard,Completed,89,92,89
Female,Sindh,Intermediate,Standard,None,48,70,70
Male,Sindh,Master's Degree,Free/Reduced,None,65,65,62
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,69,76,84
Female,Sindh,Bachelor's Degree,Free/Reduced,Completed,45,63,72
Female,Punjab,Intermediate,Standard,Completed,45,68,66
Female,Punjab,Bachelor's Degree,Standard,None,78,71,70
Male,Punjab,Intermediate,Standard,None,52,65,67
Male,Sindh,Intermediate,Free/Reduced,None,71,72,72
Female,Punjab,Intermediate,Free/Reduced,None,58,60,58
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,76,80,84
Female,Islamabad Capital Territory,Bachelor's Degree,Free/Reduced,None,75,70,63
Male,Sindh,Bachelor's Degree,Standard,None,64,70,69
Male,Punjab,Bachelor's Degree,Standard,Completed,85,82,84
Male,Punjab,Matric,Standard,Completed,87,88,93
Male,Punjab,Bachelor's Degree,Standard,None,62,64,63
Male,Punjab,Bachelor's Degree,Free/Reduced,None,78,76,78
Female,Sindh,Bachelor's Degree,Standard,None,67,70,66
Male,Sindh,Matric,Free/Reduced,None,62,62,64
Female,Punjab,Primary or Below,Standard,Completed,75,86,83
Male,Sindh,Matric,Standard,None,65,72,74
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,65,72,83
Male,Punjab,Master's Degree,Standard,Completed,69,81,83
Female,Sindh,Bachelor's Degree,Free/Reduced,None,58,60,59
Female,Sindh,Primary or Below,Standard,None,71,72,64
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,68,70,79
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,51,61,65
Male,Sindh,Matric,Free/Reduced,Completed,70,83,91
Female,Sindh,Intermediate,Free/Reduced,None,67,69,72
Female,Punjab,Master's Degree,Standard,None,63,69,70
Male,Balochistan,Master's Degree,Standard,Completed,85,87,88
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,73,77,76
Female,Punjab,Matric,Free/Reduced,None,61,61,68
Female,Sindh,Intermediate,Free/Reduced,Completed,71,78,84
Female,Sindh,Intermediate,Standard,None,62,73,83
Female,Sindh,Primary or Below,Free/Reduced,None,62,67,71
Male,Khyber Pakhtunkhwa,Intermediate,Standard,Completed,79,88,88
Female,Balochistan,Intermediate,Free/Reduced,Completed,60,74,80
Male,Punjab,Matric,Standard,None,61,61,60
Female,Khyber Pakhtunkhwa,Matric,Standard,None,66,69,63
Female,Punjab,Intermediate,Standard,Completed,69,84,90
Female,Punjab,Bachelor's Degree,Standard,Completed,79,91,97
Female,Sindh,Intermediate,Standard,Completed,87,90,100
Male,Punjab,Matric,Standard,None,65,68,70
Female,Punjab,Master's Degree,Free/Reduced,None,58,66,69
Female,Khyber Pakhtunkhwa,Primary or Below,Standard,None,68,73,74
Male,Sindh,Matric,Free/Reduced,None,81,74,69
Male,Khyber Pakhtunkhwa,Intermediate,Standard,None,77,66,69
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,71,78,80
Female,Punjab,Intermediate,Standard,Completed,73,77,88
Male,Islamabad Capital Territory,Matric,Standard,Completed,81,86,88
Male,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,56,68,75
Female,Khyber Pakhtunkhwa,Intermediate,Free/Reduced,Completed,53,66,70
Female,Sindh,Intermediate,Free/Reduced,None,50,66,61
Male,Sindh,Bachelor's Degree,Standard,None,74,72,71
Female,Sindh,Intermediate,Free/Reduced,None,58,69,74
Male,Khyber Pakhtunkhwa,Matric,Free/Reduced,None,76,77,78
Male,Sindh,Intermediate,Free/Reduced,None,63,67,69
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Completed,85,86,89
Male,Punjab,Bachelor's Degree,Standard,None,66,65,68
Female,Khyber Pakhtunkhwa,Master's Degree,Standard,None,86,79,81
Female,Punjab,Matric,Standard,None,52,61,62
Male,Balochistan,Bachelor's Degree,Standard,Completed,70,77,81
Male,Punjab,Intermediate,Standard,None,45,49,48
Female,Balochistan,Bachelor's Degree,Standard,None,70,65,72
Male,Punjab,Intermediate,Standard,None,68,76,76
Female,Sindh,Intermediate,Free/Reduced,None,58,68,65
Male,Punjab,Primary or Below,Standard,None,68,73,68
Female,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,76,81,80
Female,Sindh,Matric,Free/Reduced,None,69,70,75
Female,Sindh,Intermediate,Standard,None,72,71,70
Male,Punjab,Master's Degree,Standard,None,54,57,66
Female,Punjab,Matric,Standard,Completed,74,87,92
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,Completed,68,77,84
Male,Khyber Pakhtunkhwa,Master's Degree,Free/Reduced,Completed,57,73,79
Male,Khyber Pakhtunkhwa,Intermediate,Standard,None,66,71,70
Female,Punjab,Bachelor's Degree,Free/Reduced,None,63,72,76
Male,Sindh,Bachelor's Degree,Standard,None,83,85,79
Male,Sindh,Bachelor's Degree,Standard,Completed,89,86,85
Male,Balochistan,Bachelor's Degree,Free/Reduced,None,61,72,69
Female,Khyber Pakhtunkhwa,Matric,Standard,None,66,70,74
Female,Punjab,Primary or Below,Standard,Completed,54,70,83
Female,Sindh,Bachelor's Degree,Standard,None,62,62,65
Female,Punjab,Intermediate,Standard,Completed,72,80,86
Male,Sindh,Matric,Free/Reduced,None,58,65,61
Female,Punjab,Bachelor's Degree,Standard,Completed,100,100,100
Female,Sindh,Bachelor's Degree,Free/Reduced,None,62,70,69
Female,Punjab,Bachelor's Degree,Free/Reduced,None,57,67,67
Male,Sindh,Bachelor's Degree,Standard,None,83,72,75
Male,Punjab,Intermediate,Standard,None,56,60,60
Female,Sindh,Bachelor's Degree,Standard,None,61,70,68
Male,Khyber Pakhtunkhwa,Master's Degree,Standard,Completed,80,80,85
Male,Balochistan,Matric,Standard,Completed,54,74,76
Female,Sindh,Intermediate,Standard,None,65,79,80
Male,Punjab,Intermediate,Free/Reduced,Completed,75,79,85
Male,Khyber Pakhtunkhwa,Bachelor's Degree,Standard,None,68,73,73
Male,Sindh,Primary or Below,Standard,Completed,66,73,78
Male,Punjab,Intermediate,Standard,None,65,64,61
Male,Sindh,Primary or Below,Standard,None,68,70,69
Female,Punjab,Master's Degree,Free/Reduced,None,83,76,75
Female,Punjab,Master's Degree,Standard,None,44,66,72
Female,Punjab,Primary or Below,Standard,Completed,56,74,80
Male,Punjab,Bachelor's Degree,Standard,None,72,75,73
Female,Balochistan,Matric,Standard,None,61,63,66
Male,Islamabad Capital Territory,Matric,Standard,None,81,74,77
Female,Islamabad Capital Territory,Bachelor's Degree,Standard,Completed,84,89,100
Male,Sindh,Master's Degree,Standard,None,73,70,69
Female,Sindh,Intermediate,Free/Reduced,Completed,61,75,79
